timestamp,flow,source_ip,destination_ip,packets,bytes
2026-06-27 08:26:33,bank_to_attacker,10.0.1.2,10.0.0.2,16,2611
2026-06-27 08:26:33,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:26:37,attacker_to_bank,10.0.0.2,10.0.1.2,16,1329
2026-06-27 08:26:37,bank_to_attacker,10.0.1.2,10.0.0.2,16,2611
2026-06-27 08:26:37,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:26:40,attacker_to_bank,10.0.0.2,10.0.1.2,16,1329
2026-06-27 08:26:40,bank_to_attacker,10.0.1.2,10.0.0.2,16,2611
2026-06-27 08:26:40,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:26:43,attacker_to_bank,10.0.0.2,10.0.1.2,21,1746
2026-06-27 08:26:43,bank_to_attacker,10.0.1.2,10.0.0.2,21,3361
2026-06-27 08:26:43,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:26:46,attacker_to_bank,10.0.0.2,10.0.1.2,21,1746
2026-06-27 08:26:46,bank_to_attacker,10.0.1.2,10.0.0.2,21,3361
2026-06-27 08:26:46,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:26:49,attacker_to_bank,10.0.0.2,10.0.1.2,26,2163
2026-06-27 08:26:49,bank_to_attacker,10.0.1.2,10.0.0.2,26,4111
2026-06-27 08:26:49,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:26:52,attacker_to_bank,10.0.0.2,10.0.1.2,26,2163
2026-06-27 08:26:52,bank_to_attacker,10.0.1.2,10.0.0.2,26,4111
2026-06-27 08:26:52,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:26:55,attacker_to_bank,10.0.0.2,10.0.1.2,26,2163
2026-06-27 08:26:55,bank_to_attacker,10.0.1.2,10.0.0.2,26,4111
2026-06-27 08:26:55,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:26:58,attacker_to_bank,10.0.0.2,10.0.1.2,26,2163
2026-06-27 08:26:58,bank_to_attacker,10.0.1.2,10.0.0.2,26,4111
2026-06-27 08:26:58,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:01,attacker_to_bank,10.0.0.2,10.0.1.2,31,2580
2026-06-27 08:27:01,bank_to_attacker,10.0.1.2,10.0.0.2,31,4861
2026-06-27 08:27:01,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:04,attacker_to_bank,10.0.0.2,10.0.1.2,36,2997
2026-06-27 08:27:04,bank_to_attacker,10.0.1.2,10.0.0.2,36,5611
2026-06-27 08:27:04,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:07,attacker_to_bank,10.0.0.2,10.0.1.2,36,2997
2026-06-27 08:27:07,bank_to_attacker,10.0.1.2,10.0.0.2,36,5611
2026-06-27 08:27:07,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:10,attacker_to_bank,10.0.0.2,10.0.1.2,36,2997
2026-06-27 08:27:10,bank_to_attacker,10.0.1.2,10.0.0.2,36,5611
