timestamp,flow,source_ip,destination_ip,packets,bytes,delta_packets,delta_bytes,packet_rate,byte_rate,avg_packet_size,risk_score,classification,recommended_action,defense_action,reason
2026-06-27 08:27:16,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414,0,0,0.0,0.0,0,0,normal,allow,allow,Low traffic rate and no abnormal burst detected
2026-06-27 08:27:19,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414,0,0,0.0,0.0,0,0,normal,allow,allow,Low traffic rate and no abnormal burst detected
2026-06-27 08:27:22,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414,0,0,0.0,0.0,0,0,normal,allow,allow,Low traffic rate and no abnormal burst detected
2026-06-27 08:27:25,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414,0,0,0.0,0.0,0,0,normal,allow,allow,Low traffic rate and no abnormal burst detected
2026-06-27 08:27:28,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414,0,0,0.0,0.0,0,0,normal,allow,allow,Low traffic rate and no abnormal burst detected
2026-06-27 08:27:31,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414,0,0,0.0,0.0,0,0,normal,allow,periodic_ip_shuffle_drop_old_ips,Low traffic rate and no abnormal burst detected
2026-06-27 08:27:34,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414,0,0,0.0,0.0,0,0,normal,allow,allow,Low traffic rate and no abnormal burst detected
2026-06-27 08:27:37,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414,0,0,0.0,0.0,0,0,normal,allow,allow,Low traffic rate and no abnormal burst detected
2026-06-27 08:27:40,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414,0,0,0.0,0.0,0,0,normal,allow,allow,Low traffic rate and no abnormal burst detected
2026-06-27 08:27:43,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414,0,0,0.0,0.0,0,0,normal,allow,allow,Low traffic rate and no abnormal burst detected
2026-06-27 08:27:46,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414,0,0,0.0,0.0,0,0,normal,allow,allow,Low traffic rate and no abnormal burst detected
2026-06-27 08:27:49,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414,0,0,0.0,0.0,0,0,normal,allow,allow,Low traffic rate and no abnormal burst detected
2026-06-27 08:27:52,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414,0,0,0.0,0.0,0,0,normal,allow,allow,Low traffic rate and no abnormal burst detected
2026-06-27 08:27:55,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414,0,0,0.0,0.0,0,0,normal,allow,allow,Low traffic rate and no abnormal burst detected
2026-06-27 08:27:58,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414,0,0,0.0,0.0,0,0,normal,allow,allow,Low traffic rate and no abnormal burst detected
